school,mascot,abbreviation,conference,logo,color,alt_color
Concordia Moorhead,Cobbers,CONCOMN,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/2152.png,#701d45,
Concordia University,,,,,#null,
Concordia University Chicago,Cougars,CONCOIL,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2151.png,#572a31,
Concordia University Nebraska,Clippers,CONCONE,,,#null,
Concordia University St Paul,Golden Bears,CON,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/3066.png,#null,
Concordia-Wisconsin,Falcons,CONW,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/409.png,#245699,
Concord University,Mountain Lions,CON,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png,#null,
Copiah-Lincoln C.C.,,,,,#null,
Cornell,Big Red,COR,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/172.png,#d60027,
Cornell College (IA),Rams,CORNELLIA,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2155.png,#null,
Cortland,Red Dragons,CORTLAND,Empire 8,http://a.espncdn.com/i/teamlogos/ncaa/500/2782.png,#null,
Crown College,Polars,CROWN,Upper Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/509.png,#5c2f92,
CSU Pueblo,Thunderwolves,CSTP,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/2570.png,#null,
CSU-Pueblo,,,,,#null,
Culver-Stockton College,Wildcats,CULVE,,http://a.espncdn.com/i/teamlogos/ncaa/500/510.png,#null,
Cumberland (KY),Indians,CUMB,,http://a.espncdn.com/i/teamlogos/ncaa/500/511.png,#null,
Cumberland (TN),Bulldogs,CUMBTN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2161.png,#null,
Curry College,Colonels,CUR,Commonwealth Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/40.png,#65448b,
Dakota State University,Trojans,DAKOT,,http://a.espncdn.com/i/teamlogos/ncaa/500/512.png,#null,
Dakota Wesleyan,Tigers,DWU,,http://a.espncdn.com/i/teamlogos/ncaa/500/513.png,#null,
Dartmouth,Big Green,DART,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/159.png,#005730,
Davenport,Panthers,DU,GLIAC,,#null,
Davidson,Wildcats,DAV,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,#null,
Dayton,Flyers,DAY,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,#004B8D,
Dean College,Bulldogs,DEA,ECFC,,#null,
De Anza College,,,,,#null,
Defiance College,Yellow Jackets,DEF,,http://a.espncdn.com/i/teamlogos/ncaa/500/190.png,#4e2d8a,
Delaware,Blue Hens,DEL,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,#033594,
Delaware State,Hornets,DSU,MEAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,#FF3630,
Delaware Valley,Aggies,DV,Mid Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2808.png,#004c23,
Delta State,Statesmen,DELTAST,Gulf South,http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png,#00753e,
Denison University,Big Red,DEN,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2171.png,#null,
Depauw,Tigers,DEP,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/83.png,#null,
Des Moines,Vikings,GRANDVIEW,,,#null,
Dickinson (PA),Red Devils,DIC,Centennial,http://a.espncdn.com/i/teamlogos/ncaa/500/2175.png,#ed192d,
Dickinson State University,Blue Hawks,DIC,,http://a.espncdn.com/i/teamlogos/ncaa/500/316.png,#null,
Doane College,Doane,,,,#null,
