school,mascot,abbreviation,conference,logo,color,alt_color
Missouri Southern,,,,,#null,
Missouri Valley,,,,,#null,
Missouri Wesleyan,,,,,#null,
MIT,Engineers,MIT,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/109.png,#null,
Moffett Field,,,,,#null,
Mohawk,,,,,#null,
Moline A.C.,,,,,#null,
Monroe A.C.,,,,,#null,
Montana Tech,,,,,#null,
Montana Wesleyan,,,,,#null,
Montclair A.C.,,,,,#null,
Montezuma,,,,,#null,
Montgomery A.C.,,,,,#null,
Monticello Navy,,,,,#null,
Montreal,,,,,#null,
Mooney,,,,,#null,
Moorhead State,,,,,#null,
Morgan,,,,,#null,
Morganton Mutes,,,,,#null,
Morris Brown,,MB,,,#null,
Morris Field,,,,,#null,
Morris Harvey,,,,,#null,
Mount Airy Deaf School,,,,,#null,
Mount Carmel All-Stars,,,,,#null,
Mount Hermon,,,,,#null,
Mount Pleasant,,,,,#null,
Mount St. Mary's,,,,,#null,
Multnomah A.C.,,,,,#null,
Nashville,,,,,#null,
Navy Hospital Corps,,,,,#null,
Navy Reserves,,,,,#null,
Navy Transport,,,,,#null,
Nebraska Alumni,,,,,#null,
Nebraska Wesleyan,,,,,#null,
Nebraska Wesleyan,Prairie Wolves,NEBWS,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/6845.png,#null,
Needham,,,,,#null,
Newark A.C.,,,,,#null,
Newberry A.C.,,,,,#null,
Newburyport A.C.,,,,,#null,
New England All-Stars,,,,,#null,
New Jersey A.C.,,,,,#null,
New London Submarine Base,,,,,#null,
New Mexico Military,,,,,#null,
New Mexico Tech,,,,,#null,
New Orleans Gym Club,,,,,#null,
Newport Navy,,,,,#null,
Newport News,,,,,#null,
Newport NTS,,,,,#null,
Newton A.C.,,,,,#null,
Newton High,,,,,#null,
Newtowne A.C.,,,,,#null,
New York A.C.,,,,,#null,
New York Law,,,,,#null,
New York Naval Militia,,,,,#null,
New York State,,,,,#null,
New York University,Violets,,,,#null,
Niagara,,,,,#null,
Norfolk A.C.,,,,,#null,
Norfolk Blues,,,,,#null,
Norfolk Fire Department,,,,,#null,
Norfolk Marines,,,,,#null,
Norfolk Navy,,,,,#null,
Norfolk Navy Base,,,,,#null,
Norfolk Navy Yard,,,,,#null,
Norman Naval Air Station,Zoomers,,,,#null,
Norman Park,,,,,#null,
North Alabama A.C.,,,,,#null,
North Carolina Medical,,,,,#null,
North Carolina Pre-Flight,Cloudbusters,NCPF,,,#null,
North Dakota Teachers,,,,,#null,
North Denver High,,,,,#null,
North Division High,,,,,#null,
Northeastern,Huskies,NE,,http://a.espncdn.com/i/teamlogos/ncaa/500/111.png,#cc0001,
Northeastern Oklahoma State,,,,,#null,
North Georgia,,,,,#null,
Northwest Division High,,,,,#null,
Northwestern Academy,,,,,#null,
Northwestern Alumni,,,,,#null,
Northwestern Dental,,,,,#null,
Northwestern (IA),,nad,,,#null,
Northwestern (Wisconsin),,,,,#null,
Notre Dame B,,,,,#null,
Oak Ridge,,,,,#null,
Oceana NAS,,,,,#null,
Ogden A.C.,,,,,#null,
Ogden High,,,,,#null,
Oglethorpe,Stormy Petrels,,,,#null,
Ohio Am. Corp.,,,,,#null,
Ohio Medical,,,,,#null,
Oklahoma City,,,,,#null,
Oklahoma Mines,,,,,#null,
Oklahoma Teachers,,,,,#null,
Olathe Navy,,,,,#null,
Olivet,,,,,#null,
Olympic A.C.,,,,,#null,
Olympic Club,,,,,#null,
Omaha Balloon,,,,,#null,
Omaha Light Guards,,,,,#null,
Onondaga,,,,,#null,
Orange A.C.,,,,,#null,
Oregon College,,,,,#null,
Oregon State Alumni,,,,,#null,
Oregon Tech,Hustlin' Owls,,,,#null,
Originals A.C.,,,,,#null,
Ottawa,,,,,#null,
Ottumwa Pre-Flight,,,,,#null,
Ouachita,,,,,#null,
Overland Station,,,,,#null,
Ozarks,,,,,#null,
Pacific,Tigers,,,,#null,
Pacific All-Stars,,,,,#null,
Pacific Fleet,,,,,#null,
Pacific (Oregon),,,,,#null,
Pacific Submarines,,,,,#null,
Palmyra,,,,,#null,
Panora,,,,,#null,
Park Field,,,,,#null,
Parris Island Marines,,,,,#null,
Parsons,,,,,#null,
Parsons (Iowa),,,,,#null,
Pastime A.C.,,,,,#null,
Payne Field,,,,,#null,
Pearl Harbor,,,,,#null,
Pelham Bay Navy,,,,,#null,
Penn Radio School,,,,,#null,
Pennsylvania Alumni,,,,,#null,
Pennsylvania College,,,,,#null,
Pennsylvania Military,,,,,#null,
Pennsylvania Railroad YMCA,,,,,#null,
Pennsylvania Reserves,,,,,#null,
Pensacola A.C.,,,,,#null,
Pensacola NAS,,,,,#null,
Peoria Socials A.C.,,,,,#null,
Pepperdine,,,,,#null,
Peru State,,,,,#null,
Phialdelphia YMCA,,,,,#null,
Philadelphia A.C.,,,,,#null,
Philadelphia All-Stars,,,,,#null,
Philadelphia Naval Yard,,,,,#null,
Phillips,Haymakers,,,,#null,
Phoenix A.C.,,,,,#null,
Phoenix All-Stars,,,,,#null,
Phoenix Indians,,,,,#null,
Physicians & Surgeons,,,,,#null,
Piedmont,,,,,#null,
Pittsburgh A.C.,,,,,#null,
Pittsburgh Lyceum,,,,,#null,
Pittsfield A.C.,,,,,#null,
Pleasanton Navy,,,,,#null,
Pomona Ordinance Base,,,,,#null,
Pontiac A.C.,,,,,#null,
Porter Military,,,,,#null,
Portland,Pilots,,,,#null,
Portland A.C.,,,,,#null,
Port Royal,,,,,#null,
Portsmouth Fleet,,,,,#null,
Post Field,,,,,#null,
Prairie A.C.,,,,,#null,
Presidio of San Francisco,,,,,#null,
Princeton A.C.,,,,,#null,
Princeton Alumni,,,,,#null,
Princeton Seminary,,,,,#null,
Providence,,,,,#null,
Pueblo High,,,,,#null,
Pueblo YMCA,,,,,#null,
Purdue Alumni,,,,,#null,
Quantico Marines,Devil Dogs,,,,#null,
Queen's,,,,,#null,
Quincy A.C.,,,,,#null,
Randolph Field,Ramblers,,,,#null,
Ream Field,,,,,#null,
Regis (CO),Rangers,,,,#null,
Reina Mercedes,,,,,#null,
Reliance A.C.,,,,,#null,
Richmond Blues,,,,,#null,
Richmond Field,,,,,#null,
Ridgefield A.C.,,,,,#null,
Riverside,,,,,#null,
Roanoke,,,,,#null,
Rockford High,,,,,#null,
Rockford YMCA,,,,,#null,
Rockhurst,,,,,#null,
Rock Island A.C.,,,,,#null,
Rollins,,,,,#null,
Rooks,,,,,#null,
Rush Medical,,,,,#null,
Rusk,,,,,#null,
Sacaton Indians,,,,,#null,
Sacred Heart (Wisconsin),,,,,#null,
Saint Louis,Billikens,,,,#null,
Saint Mary's,Gaels,,,,#null,
Saint Mary's (CA),Gaels,,,,#null,
Saint Mary's (CA) Pre-Flight,Air Devils,,,,#null,
Salem,,,,,#null,
Salem International,,,,,#null,
Salt Lake Field,,,,,#null,
Salt Lake High,,,,,#null,
Salt Lake YMCA,,,,,#null,
Sampson NTS,,,,,#null,
San Diego Bombers (PCFL),,,,,#null,
San Diego Marines,,,,,#null,
San Diego Navy,,,,,#null,
San Francisco,Dons,SF,,,#null,
San Francisco Clippers (AFL),,,,,#null,
San Francisco State,,,,,#null,
San Pedro A.C.,,,,,#null,
San Pedro Navy,,,,,#null,
Santa Ana Field,,,,,#null,
Santa Clara,Broncos,SC,,,#null,
Savannah A.C.,,,,,#null,
S.B. Howard Park,,,,,#null,
Schuylkill,,,,,#null,
Schuylkill Navy,,,,,#null,
Scott Field,,,,,#null,
Scout Fleet,,,,,#null,
Scranton,,,,,#null,
Seamen Gunners,,,,,#null,
Second Air Force,Superbombers,,,,#null,
Second Air Force (Colorado),,,,,#null,
Second Air Force (Washington),,,,,#null,
Seton Hall,,,,,#null,
Sewanee Club (Virginia),,,,,#null,
Sewanee Medical,,,,,#null,
Shamokin,,,,,#null,
Shattuck,,,,,#null,
Sherman,,,,,#null,
Shorter,Hawks,SHOR,Gulf South,http://a.espncdn.com/i/teamlogos/ncaa/500/2560.png,#null,
Shreveport A.C.,,,,,#null,
Shurtleff,,,,,#null,
Sioux City A.C.,,,,,#null,
Sioux Falls,Cougars,SIO,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/2894.png,#null,
SMTS,,,,,#null,
Sonoma State,,,,,#null,
South Bend A.C.,,,,,#null,
South Berwick,,,,,#null,
South Denver High,,,,,#null,
Southern California Alumni,,,,,#null,
Southern College,,,,,#null,
Southern Methodist Freshmen,,,,,#null,
Southern Military Academy,,,,,#null,
SOUTH FLORIDA STARS,STARS,SFX,,,#000000,
South Plains Field,,,,,#null,
South Side Academy,,,,,#null,
Southwestern (Kansas),,,,,#null,
Southwestern University,Pirates,SW,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2588.png,#null,
Southwest State,Mustangs,,,,#null,
Spence Field,,,,,#null,
Spring Hill,Badgers,,,,#null,
Squantum NAS,,,,,#null,
Staats A.C.,,,,,#null,
St. Albans,,,,,#null,
Standifer Shipbuilders,,,,,#null,
St. Benedict,,,,,#null,
St. Bonaventure,,,,,#null,
St. Edward's,,,,,#null,
Steelton YMCA,,,,,#null,
Sterling A.C.,,,,,#null,
Stevens,Ducks,,,,#null,
Stevens Alumni,,,,,#null,
St. Helena NTS,,,,,#null,
Still,,,,,#null,
Stillman,Tigers,STI,,,#null,
St. John's M.A.,,,,,#null,
St. John's (Maryland),,,,,#null,
St. Joseph's (Pennsylvania),,,,,#null,
St. Lawrence,,,,,#null,
St. Louis Alumni-Hawaii,,,,,#null,
St. Mary's (Kansas),,,,,#null,
St. Mary's (Minnesota),,,,,#null,
St. Mary's (Texas),,,,,#null,
St. Olaf,,,,,#null,
St. Paul,,,,,#null,
St. Paul Central High,,,,,#null,
St. Paul's (New Hampshire),,,,,#null,
Stroudsburg,,,,,#null,
St. Steven's,,,,,#null,
St. Thomas,,,,,#null,
St. Viator,,,,,#null,
St. Vincent's (California),,,,,#null,
St. Vincent's (Pennsylvania),,,,,#null,
Superba A.C.,,,,,#null,
Swarthmore,Garnet Tide,SWAR,,,#null,
Swarthmore Alumni,,,,,#null,
Syracuse A.C.,,,,,#null,
Syracuse Alumni,,,,,#null,
Talladega,,,,,#null,
Tampa,Spartans,,,,#null,
Tampa A.C.,,,,,#null,
Tarkio,,,,,#null,
Taylor,Trojans,TAYLOR,,http://a.espncdn.com/i/teamlogos/ncaa/500/620.png,#null,
Temperance A.C.,,,,,#null,
Tennessee Deaf School,,,,,#null,
Tennessee Medical College,,,,,#null,
Tennessee-Memphis,,,,,#null,
Tennessee Military,,,,,#null,
Tennessee Wesleyan,,,,,#null,
Texas A&M-Corpus Christi,,,,,#null,
Texas-Arlington,Mavericks,,,,#null,
Texas Deaf School,,,,,#null,
Texas Military,,,,,#null,
Texas Wesleyan,,,,,#null,
Thiel,Tomcats,THIEL,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2644.png,#null,
Thiel,,,,,#null,
Third Air Force,,,,,#null,
Tiffin,Dragons,TIF,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2838.png,#null,
Tioga,,,,,#null,
Toledo A.C.,,,,,#null,
Tonkawa Preparatory,,,,,#null,
Toronto All-Stars,,,,,#null,
Toronto Argonauts,Toronto Argonauts,Toronto Argonauts,,,#null,
Transylvania,,,,,#null,
Trinity International (IL),Trojans,TRN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2907.png,#null,
Trinity (Texas),,,,,#null,
Troy Laureates,,,,,#null,
Tulane Alumni,,,,,#null,
Twin Cities Central High,,,,,#null,
Twin Cities High,,,,,#null,
UAY All-Stars,,,,,#null,
UC Riverside,Highlanders,,,,#null,
Union College,Dutchmen,UNI,,http://a.espncdn.com/i/teamlogos/ncaa/500/2841.png,#null,
Union (NY),Dutchmen,,,,#null,
Union (Tennessee),,,,,#null,
University Club of Chicago,,,,,#null,
University of Mary,Marauders,MARY,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/559.png,#null,
University of Mexico,,,,,#null,
Upsala,,,,,#null,
U.S. Amphibians,,,,,#null,
U.S. International,,,,,#null,
U.S. Marines,,,,,#null,
US Recup. Company,,,,,#null,
USS Boston,,,,,#null,
USS Franklin,,,,,#null,
USS Idaho,,,,,#null,
USS Maryland,,,,,#null,
USS Mercy,,,,,#null,
USS Minnesota,,,,,#null,
USS Mississippi,,,,,#null,
USS New Mexico,,,,,#null,
USS New York,,,,,#null,
USS Oklahoma,,,,,#null,
USS Tennessee,,,,,#null,
USS Utah,,,,,#null,
USS Washington,,,,,#null,
Utah Alumni,,,,,#null,
Utah Field Artillery,,,,,#null,
Utah State Alumni,,,,,#null,
Vancouver Barracks,,,,,#null,
Vanderbilt Alumni,,,,,#null,
Vedado A.C.,,,,,#null,
Vermont,Catamounts,,,,#null,
Vermont Methodist Seminary,,,,,#null,
Vicksburg A.C.,,,,,#null,
Vigilant A.C.,,,,,#null,
Vincennes,,,,,#null,
Vineland,,,,,#null,
Virginia Boat Club,,,,,#null,
Virginia Medical,,,,,#null,
Virginia Tech Alumni,,,,,#null,
Virginia Union,Panthers,VU,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2676.png,#null,
Volunteer A.C.,,,,,#null,
Waco Field,,,,,#null,
Wake Forest Freshmen,,,,,#null,
Walton,,,,,#null,
Warrenton Preparatory,,,,,#null,
Washington Artillery,,,,,#null,
Washington (Maryland),,,,,#null,
Washington Redskins (NFL),,,,,#null,
Washington YMCA,,,,,#null,
Waterton,,,,,#null,
Watertown,,,,,#null,
Waukegan High,,,,,#null,
Wayne State,,,,,#null,
Welch Neck High,,,,,#null,
Wendell Phillips High,,,,,#null,
Wesley,,,,,#null,
Wesleyan (CT),Cardinals,,,,#null,
West Coast Army,,,,,#null,
West Coast Navy,,,,,#null,
West Denver High,,,,,#null,
West Division High,,,,,#null,
West End Amateurs,,,,,#null,
Western (Iowa),,,,,#null,
Western Ontario,Mustangs,,,,#null,
Western Reserve,,,,,#null,
West Logan High,,,,,#null,
Westminster (Missouri),,,,,#null,
Westminster (Pennsylvania),,,,,#null,
West Seattle A.C.,,,,,#null,
West Texas Military,,,,,#null,
West Virginia State,Yellow Jackets,,,,#null,
Wetumpka,,,,,#null,
Wheaton High,,,,,#null,
White Sands,,,,,#null,
White Squadron,,,,,#null,
Whitman,Missionaries,,,,#null,
Wichita State,Shockers,,,,#null,
William Jewell,,,,,#null,
Williams Alumni,,,,,#null,
Williams Field,,,,,#null,
Williamsport,,,,,#null,
Williston,,,,,#null,
Wilmington,,,,,#null,
Winchester,,,,,#null,
Wisconsin Alumni,,,,,#null,
Wisconsin Freshmen,,,,,#null,
Wisconsin-Milwaukee,,,,,#null,
Wisconsin-Oshkosh,,,,,#null,
Wisconsin-Whitewater,,,,,#null,
Wisc. Stout,,,,,#null,
Wissahickon Barracks,,,,,#null,
Worcester A.C.,,,,,#null,
Worcester Academy,,,,,#null,
Wyoming Alumni,,,,,#null,
Wyoming Faculty,,,,,#null,
Wyoming Seminary,,,,,#null,
Xavier,Musketeers,,,,#null,
Yale Alumni,,,,,#null,
Yale Consolidated,,,,,#null,
Yale Freshmen,,,,,#null,
Yale/Princeton/Harvard Grads,,,,,#null,
YMI,,,,,#null,
York YMCA,,,,,#null,
Yuma Field,,,,,#null,
